Player,Score,Week,Year,Position,
Chicago (Chi),5,13,2019,DEF,
Cincinnati (Cin),13,13,2019,DEF,
Cleveland (Cle),4,13,2019,DEF,
Dallas (Dal),4,13,2019,DEF,
Denver (Den),8,13,2019,DEF,
Detroit (Det),3,13,2019,DEF,
Green Bay (GB),10,13,2019,DEF,
Houston (Hou),5,13,2019,DEF,
Indianapolis (Ind),9,13,2019,DEF,
Jacksonville (Jax),6,13,2019,DEF,
Kansas City (KC),20,13,2019,DEF,
Los Angeles (LAC),2,13,2019,DEF,
Los Angeles (LAR),18,13,2019,DEF,
Miami (Mia),3,13,2019,DEF,
Minnesota (Min),8,13,2019,DEF,
New England (NE),2,13,2019,DEF,
New Orleans (NO),16,13,2019,DEF,
New York (NYG),-1,13,2019,DEF,
New York (NYJ),2,13,2019,DEF,
Oakland (Oak),0,13,2019,DEF,
Philadelphia (Phi),1,13,2019,DEF,
Pittsburgh (Pit),13,13,2019,DEF,
San Francisco (SF),4,13,2019,DEF,
Seattle (Sea),6,13,2019,DEF,
Tampa Bay (TB),23,13,2019,DEF,
Tennessee (Ten),20,13,2019,DEF,
Washington (Was),11,13,2019,DEF,
Arizona (Ari),7,14,2019,DEF,
Atlanta (Atl),12,14,2019,DEF,
Baltimore (Bal),9,14,2019,DEF,
Buffalo (Buf),3,14,2019,DEF,
Carolina (Car),-3,14,2019,DEF,
Chicago (Chi),2,14,2019,DEF,
Cincinnati (Cin),5,14,2019,DEF,
Cleveland (Cle),11,14,2019,DEF,
Dallas (Dal),5,14,2019,DEF,
Denver (Den),15,14,2019,DEF,
Detroit (Det),2,14,2019,DEF,
Green Bay (GB),7,14,2019,DEF,
Houston (Hou),2,14,2019,DEF,
Indianapolis (Ind),11,14,2019,DEF,
Jacksonville (Jax),-3,14,2019,DEF,
Kansas City (KC),8,14,2019,DEF,
Los Angeles (LAC),6,14,2019,DEF,
Los Angeles (LAR),14,14,2019,DEF,
Miami (Mia),3,14,2019,DEF,
Minnesota (Min),13,14,2019,DEF,
New England (NE),7,14,2019,DEF,
New Orleans (NO),1,14,2019,DEF,
New York (NYG),5,14,2019,DEF,
New York (NYJ),4,14,2019,DEF,
Oakland (Oak),-2,14,2019,DEF,
Philadelphia (Phi),3,14,2019,DEF,
Pittsburgh (Pit),18,14,2019,DEF,
San Francisco (SF),-2,14,2019,DEF,
Seattle (Sea),11,14,2019,DEF,
Tampa Bay (TB),2,14,2019,DEF,
Tennessee (Ten),10,14,2019,DEF,
Washington (Was),7,14,2019,DEF,
Arizona (Ari),5,15,2019,DEF,
Atlanta (Atl),11,15,2019,DEF,
Baltimore (Bal),7,15,2019,DEF,
Buffalo (Buf),18,15,2019,DEF,
Carolina (Car),3,15,2019,DEF,
Chicago (Chi),1,15,2019,DEF,
Cincinnati (Cin),1,15,2019,DEF,
Cleveland (Cle),-2,15,2019,DEF,
Dallas (Dal),4,15,2019,DEF,
Denver (Den),5,15,2019,DEF,
Detroit (Det),3,15,2019,DEF,
Green Bay (GB),13,15,2019,DEF,
Houston (Hou),6,15,2019,DEF,
Indianapolis (Ind),-1,15,2019,DEF,
Jacksonville (Jax),5,15,2019,DEF,
Kansas City (KC),11,15,2019,DEF,
Los Angeles (LAC),1,15,2019,DEF,
Los Angeles (LAR),-4,15,2019,DEF,
Miami (Mia),6,15,2019,DEF,
Minnesota (Min),27,15,2019,DEF,
New England (NE),20,15,2019,DEF,
New Orleans (NO),5,15,2019,DEF,
New York (NYG),8,15,2019,DEF,
New York (NYJ),5,15,2019,DEF,
Oakland (Oak),3,15,2019,DEF,
Philadelphia (Phi),9,15,2019,DEF,
Pittsburgh (Pit),6,15,2019,DEF,
San Francisco (SF),4,15,2019,DEF,
Seattle (Sea),7,15,2019,DEF,
Tampa Bay (TB),15,15,2019,DEF,
Tennessee (Ten),5,15,2019,DEF,
Washington (Was),3,15,2019,DEF,
Arizona (Ari),11,16,2019,DEF,
Atlanta (Atl),9,16,2019,DEF,
Baltimore (Bal),4,16,2019,DEF,
Buffalo (Buf),2,16,2019,DEF,
Carolina (Car),-1,16,2019,DEF,
Chicago (Chi),1,16,2019,DEF,
Cincinnati (Cin),0,16,2019,DEF,
Cleveland (Cle),1,16,2019,DEF,
Dallas (Dal),2,16,2019,DEF,
Denver (Den),5,16,2019,DEF,
Detroit (Det),6,16,2019,DEF,
Green Bay (GB),11,16,2019,DEF,
Houston (Hou),22,16,2019,DEF,
Indianapolis (Ind),30,16,2019,DEF,
Jacksonville (Jax),5,16,2019,DEF,
Kansas City (KC),10,16,2019,DEF,
Los Angeles (LAC),3,16,2019,DEF,
Los Angeles (LAR),9,16,2019,DEF,
Miami (Mia),2,16,2019,DEF,
Minnesota (Min),9,16,2019,DEF,
New England (NE),5,16,2019,DEF,
New Orleans (NO),6,16,2019,DEF,
New York (NYG),-1,16,2019,DEF,
New York (NYJ),12,16,2019,DEF,
Oakland (Oak),2,16,2019,DEF,
Philadelphia (Phi),8,16,2019,DEF,
Pittsburgh (Pit),5,16,2019,DEF,
San Francisco (SF),7,16,2019,DEF,
Seattle (Sea),4,16,2019,DEF,
Tampa Bay (TB),10,16,2019,DEF,
Tennessee (Ten),-1,16,2019,DEF,
Washington (Was),-1,16,2019,DEF,
Arizona (Ari),0,17,2019,DEF,
Atlanta (Atl),14,17,2019,DEF,
Baltimore (Bal),18,17,2019,DEF,
Buffalo (Buf),8,17,2019,DEF,
Carolina (Car),-3,17,2019,DEF,
Chicago (Chi),9,17,2019,DEF,
Cincinnati (Cin),12,17,2019,DEF,
Cleveland (Cle),2,17,2019,DEF,
Dallas (Dal),7,17,2019,DEF,
Denver (Den),5,17,2019,DEF,
Detroit (Det),3,17,2019,DEF,
Green Bay (GB),4,17,2019,DEF,
Houston (Hou),-4,17,2019,DEF,
Indianapolis (Ind),4,17,2019,DEF,
Jacksonville (Jax),14,17,2019,DEF,
Kansas City (KC),13,17,2019,DEF,
Los Angeles (LAC),1,17,2019,DEF,
Los Angeles (LAR),11,17,2019,DEF,
Miami (Mia),11,17,2019,DEF,
Minnesota (Min),7,17,2019,DEF,
New England (NE),2,17,2019,DEF,
New Orleans (NO),18,17,2019,DEF,
New York (NYG),0,17,2019,DEF,
New York (NYJ),14,17,2019,DEF,
Oakland (Oak),5,17,2019,DEF,
Philadelphia (Phi),9,17,2019,DEF,
Pittsburgh (Pit),8,17,2019,DEF,
San Francisco (SF),1,17,2019,DEF,
Seattle (Sea),2,17,2019,DEF,
Tampa Bay (TB),14,17,2019,DEF,
Tennessee (Ten),7,17,2019,DEF,
Washington (Was),1,17,2019,DEF,
Arizona (Ari),5,1,2018,DEF,
Atlanta (Atl),7,1,2018,DEF,
Baltimore (Bal),17,1,2018,DEF,
Buffalo (Buf),0,1,2018,DEF,
Carolina (Car),12,1,2018,DEF,
Chicago (Chi),14,1,2018,DEF,
Cincinnati (Cin),12,1,2018,DEF,
Cleveland (Cle),16,1,2018,DEF,
Dallas (Dal),6,1,2018,DEF,
Denver (Den),12,1,2018,DEF,
Detroit (Det),8,1,2018,DEF,
Green Bay (GB),7,1,2018,DEF,
Houston (Hou),8,1,2018,DEF,
Indianapolis (Ind),5,1,2018,DEF,
Jacksonville (Jax),13,1,2018,DEF,
Kansas City (KC),10,1,2018,DEF,
Los Angeles (LAC),-3,1,2018,DEF,
Los Angeles (LAR),17,1,2018,DEF,
Miami (Mia),13,1,2018,DEF,
Minnesota (Min),18,1,2018,DEF,
New England (NE),8,1,2018,DEF,
New Orleans (NO),-4,1,2018,DEF,
New York (NYG),4,1,2018,DEF,
New York (NYJ),26,1,2018,DEF,
Oakland (Oak),1,1,2018,DEF,
Philadelphia (Phi),10,1,2018,DEF,
Pittsburgh (Pit),11,1,2018,DEF,
San Francisco (SF),6,1,2018,DEF,
Seattle (Sea),7,1,2018,DEF,
Tampa Bay (TB),7,1,2018,DEF,
Tennessee (Ten),11,1,2018,DEF,
Washington (Was),13,1,2018,DEF,
Arizona (Ari),3,2,2018,DEF,
Atlanta (Atl),4,2,2018,DEF,
Baltimore (Bal),-1,2,2018,DEF,
Buffalo (Buf),1,2,2018,DEF,
Carolina (Car),1,2,2018,DEF,
Chicago (Chi),17,2,2018,DEF,
