Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
8,Steelers SIXcess,Loss,53.74 - 81.46,53.74,Daniel's Stormies,2018
9,SUCK MY DITKA!!,Loss,110.82 - 113.10,110.82,Daniel's Stormies,2018
10,Suh Girls One Kupp,Win,133.90 - 127.92,133.9,Daniel's Stormies,2018
11,A bunch of Jerry's,Win,74.84 - 68.02,74.84,Daniel's Stormies,2018
12,Gronkey Kong,Win,118.24 - 87.08,118.24,Daniel's Stormies,2018
13,Admiral Ackbar's Ass,Win,94.26 - 76.28,94.26,Daniel's Stormies,2018
1,A bunch of Jerry's,Loss,111.66 - 136.38,111.66,Cousin's Familia,2018
2,Gronkey Kong,Win,125.60 - 113.24,125.6,Cousin's Familia,2018
3,Admiral Ackbar's Ass,Win,86.64 - 82.14,86.64,Cousin's Familia,2018
4,MR. T's Cereal,Win,142.56 - 139.60,142.56,Cousin's Familia,2018
5,Daniel's Stormies,Loss,93.00 - 103.04,93,Cousin's Familia,2018
6,Thunder Horse,Win,113.80 - 97.78,113.8,Cousin's Familia,2018
7,Ridley Me That,Loss,91.46 - 93.78,91.46,Cousin's Familia,2018
8,Show Me Your TD's,Loss,116.86 - 127.36,116.86,Cousin's Familia,2018
9,Steelers SIXcess,Loss,48.36 - 92.16,48.36,Cousin's Familia,2018
10,SUCK MY DITKA!!,Loss,102.80 - 107.44,102.8,Cousin's Familia,2018
11,Suh Girls One Kupp,Loss,76.74 - 109.70,76.74,Cousin's Familia,2018
12,A bunch of Jerry's,Loss,78.38 - 95.92,78.38,Cousin's Familia,2018
13,Gronkey Kong,Win,89.74 - 82.54,89.74,Cousin's Familia,2018
1,Suh Girls One Kupp,Loss,77.34 - 92.84,77.34,Ridley Me That,2018
2,A bunch of Jerry's,Loss,88.16 - 111.86,88.16,Ridley Me That,2018
3,Gronkey Kong,Win,105.80 - 96.22,105.8,Ridley Me That,2018
4,Admiral Ackbar's Ass,Win,104.52 - 44.34,104.52,Ridley Me That,2018
5,MR. T's Cereal,Win,83.94 - 71.96,83.94,Ridley Me That,2018
6,Daniel's Stormies,Win,115.20 - 104.50,115.2,Ridley Me That,2018
7,Cousin's Familia,Win,93.78 - 91.46,93.78,Ridley Me That,2018
8,Thunder Horse,Loss,97.24 - 135.32,97.24,Ridley Me That,2018
9,Show Me Your TD's,Loss,123.24 - 140.42,123.24,Ridley Me That,2018
10,Steelers SIXcess,Loss,71.26 - 86.76,71.26,Ridley Me That,2018
11,SUCK MY DITKA!!,Win,142.52 - 72.80,142.52,Ridley Me That,2018
12,Suh Girls One Kupp,Loss,82.02 - 113.24,82.02,Ridley Me That,2018
13,A bunch of Jerry's,Win,120.82 - 79.44,120.82,Ridley Me That,2018
1,SUCK MY DITKA!!,Loss,76.04 - 87.32,76.04,Show Me Your TD's,2018
2,Suh Girls One Kupp,Win,111.10 - 105.48,111.1,Show Me Your TD's,2018
3,A bunch of Jerry's,Win,100.00 - 73.52,100,Show Me Your TD's,2018
4,Gronkey Kong,Win,144.20 - 108.66,144.2,Show Me Your TD's,2018
5,Admiral Ackbar's Ass,Win,89.60 - 69.90,89.6,Show Me Your TD's,2018
6,MR. T's Cereal,Loss,73.38 - 105.88,73.38,Show Me Your TD's,2018
7,Daniel's Stormies,Win,103.46 - 84.60,103.46,Show Me Your TD's,2018
8,Cousin's Familia,Win,127.36 - 116.86,127.36,Show Me Your TD's,2018
9,Ridley Me That,Win,140.42 - 123.24,140.42,Show Me Your TD's,2018
10,Thunder Horse,Win,86.32 - 78.06,86.32,Show Me Your TD's,2018
11,Steelers SIXcess,Win,102.42 - 79.38,102.42,Show Me Your TD's,2018
12,SUCK MY DITKA!!,Loss,86.22 - 89.82,86.22,Show Me Your TD's,2018
